,initial angle,arc_length,incidence angle,distance from mirror
943,0.0009430943094309431,1.4804704810578916e-05,0.010661485289996803,7.899875301585706e-08
944,0.0009440944094409442,1.4820399595385093e-05,0.01067279063362303,7.916626016813315e-08
945,0.0009450945094509451,1.4836094364417879e-05,0.010684095975251558,7.933394458678883e-08
946,0.0009460946094609461,1.48517891175712e-05,0.010695401314863597,7.95018062703013e-08
947,0.0009470947094709472,1.4867483856877972e-05,0.010706706653009695,7.966984524005438e-08
948,0.0009480948094809481,1.4883178579913884e-05,0.010718011989011431,7.98380614697175e-08
949,0.0009490949094909492,1.4898873287905159e-05,0.010729317323386025,8.000645497205378e-08
950,0.0009500950095009501,1.4914567980458747e-05,0.010740622655763353,8.017502574247009e-08
951,0.0009510951095109511,1.493026265815267e-05,0.010751927986403098,8.034377378680497e-08
952,0.0009520952095209522,1.4945957320248275e-05,0.010763233315196389,8.051269909674312e-08
953,0.0009530953095309531,1.4961651966821242e-05,0.010774538642097155,8.068180167271762e-08
954,0.0009540954095409542,1.497734659837436e-05,0.010785843967203423,8.085108151977228e-08
955,0.0009550955095509551,1.4993041213811578e-05,0.010797149290189675,8.102053862570003e-08
956,0.0009560956095609561,1.5008735814041856e-05,0.010808454611452238,8.119017299993389e-08
957,0.0009570957095709572,1.502443039887444e-05,0.010819759930869808,8.135998464003713e-08
958,0.0009580958095809581,1.5040124968209434e-05,0.010831065248355701,8.152997354454929e-08
959,0.0009590959095909592,1.5055819521863558e-05,0.010842370563953986,8.170013971110315e-08
960,0.0009600960096009601,1.5071514060362837e-05,0.010853675877764245,8.187048314502542e-08
